Question,Option A,Option B,Option C,Option D,Right Answer
"Which programming language is known as the 'mother of all languages'?",Python,C,Java,Assembly,B
"What is the chemical symbol for Gold?",Gd,Ag,Au,Go,C
"Which planet is known as the Red Planet?",Venus,Mars,Jupiter,Saturn,B
"What does 'CPU' stand for?",Central Processing Unit,Control Programming Unit,Computer Personal Unit,Central Print Utility,A
"Which ocean is the largest on Earth?",Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D
"In Python, which library is commonly used for data manipulation?",NumPy,Pandas,Matplotlib,PyQt,B
"Who painted the Mona Lisa?",Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,C
"What is the capital city of Japan?",Seoul,Beijing,Bangkok,Tokyo,D
"Which component is responsible for long-term data storage?",RAM,CPU,HDD/SSD,GPU,C
"What is the square root of 144?",10,12,14,16,B
"Which gas do plants primarily absorb for photosynthesis?",Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C
"In Unity, which file extension is used for C# scripts?",.unity,.cpp,.js,.cs,D
"What is the powerhouse of the cell?",Nucleus,Ribosome,Mitochondria,Cytoplasm,C
"Which country is the largest by land area?",USA,China,Russia,Canada,C
"What is the value of Pi rounded to two decimal places?",3.12,3.14,3.16,3.18,B
"Who is credited with inventing the World Wide Web?",Steve Jobs,Bill Gates,Tim Berners-Lee,Elon Musk,C
"Which element has the atomic number 1?",Helium,Oxygen,Hydrogen,Carbon,C
"What is the currency of the United Kingdom?",Euro,Dollar,Pound Sterling,Yen,C
"Which year did the Titanic sink?",1905,1912,1918,1924,B
"Which data structure follows the 'Last-In, First-Out' (LIFO) principle?",Queue,Array,Stack,Linked List,C
"Which city is known as the 'Big Apple'?",Los Angeles,Chicago,Miami,New York City,D
